voltage,speed,torque,current
4,0,0.06,3.538
4,18.993,0.0594,3.505
4,37.986,0.0588,3.472
4,56.978,0.0582,3.439
4,75.971,0.0576,3.406
4,94.964,0.057,3.373
4,113.957,0.0564,3.34
4,132.95,0.0558,3.307
4,151.942,0.0552,3.274
4,170.935,0.0546,3.241
4,189.928,0.054,3.208
4,208.921,0.0534,3.175
4,227.914,0.0528,3.142
4,246.907,0.0522,3.109
4,265.899,0.0516,3.076
4,284.892,0.051,3.043
4,303.885,0.0504,3.01
4,322.878,0.0498,2.977
4,341.871,0.0492,2.944
4,360.863,0.0486,2.911
4,379.856,0.048,2.878
4,398.849,0.0474,2.845
4,417.842,0.0468,2.812
4,436.835,0.0462,2.779
4,455.827,0.0456,2.746
4,474.82,0.045,2.714
4,493.813,0.0444,2.681
4,512.806,0.0438,2.648
4,531.799,0.0432,2.615
4,550.791,0.0426,2.582
4,569.784,0.042,2.549
4,588.777,0.0414,2.516
4,607.77,0.0408,2.483
4,626.763,0.0402,2.45
4,645.756,0.0396,2.417
4,664.748,0.039,2.384
4,683.741,0.0384,2.351
4,702.734,0.0378,2.318
4,721.727,0.0372,2.285
4,740.72,0.0366,2.252
4,759.712,0.036,2.219
4,778.705,0.0354,2.186
4,797.698,0.0348,2.153
4,816.691,0.0342,2.12
4,835.684,0.0336,2.087
4,854.676,0.033,2.054
4,873.669,0.0324,2.021
4,892.662,0.0318,1.988
4,911.655,0.0312,1.955
4,930.648,0.0306,1.922
4,949.641,0.03,1.889
4,968.633,0.0294,1.856
4,987.626,0.0288,1.823
4,1006.619,0.0282,1.79
4,1025.612,0.0276,1.757
4,1044.605,0.027,1.724
4,1063.597,0.0264,1.691
4,1082.59,0.0258,1.658
4,1101.583,0.0252,1.625
4,1120.576,0.0246,1.592
4,1139.569,0.024,1.559
4,1158.561,0.0234,1.526
4,1177.554,0.0228,1.493
4,1196.547,0.0222,1.46
4,1215.54,0.0216,1.427
4,1234.533,0.021,1.394
4,1253.525,0.0204,1.361
4,1272.518,0.0198,1.328
4,1291.511,0.0192,1.295
4,1310.504,0.0186,1.262
4,1329.497,0.018,1.229
4,1348.49,0.0174,1.196
4,1367.482,0.0168,1.163
4,1386.475,0.0162,1.13
4,1405.468,0.0156,1.097
4,1424.461,0.015,1.065
4,1443.454,0.0144,1.032
4,1462.446,0.0138,0.999
4,1481.439,0.0132,0.966
4,1500.432,0.0126,0.933
4,1519.425,0.012,0.9
4,1538.418,0.0114,0.867
4,1557.41,0.0108,0.834
4,1576.403,0.0102,0.801
4,1595.396,0.0096,0.768
4,1614.389,0.009,0.735
4,1633.382,0.0084,0.702
4,1652.374,0.0078,0.669
4,1671.367,0.0072,0.636
4,1690.36,0.0066,0.603
4,1709.353,0.006,0.57
4,1728.346,0.0054,0.537
4,1747.339,0.0048,0.504
4,1766.331,0.0042,0.471
4,1785.324,0.0036,0.438
4,1804.317,0.003,0.405
4,1823.31,0.0024,0.372
4,1842.303,0.0018,0.339
4,1861.295,0.0012,0.306
4,1880.288,0.0006,0.273
4,1899.281,0,0.24
6,0,0.092,5.336
6,29.205,0.09108,5.285
6,58.41,0.09016,5.234
6,87.615,0.08924,5.183
6,116.82,0.08832,5.132
6,146.026,0.0874,5.081
6,175.231,0.08648,5.03
6,204.436,0.08556,4.979
6,233.641,0.08464,4.929
6,262.846,0.08372,4.878
6,292.051,0.0828,4.827
6,321.256,0.08188,4.776
6,350.461,0.08096,4.725
6,379.666,0.08004,4.674
6,408.871,0.07912,4.623
6,438.077,0.0782,4.572
6,467.282,0.07728,4.521
6,496.487,0.07636,4.47
6,525.692,0.07544,4.419
6,554.897,0.07452,4.368
6,584.102,0.0736,4.317
6,613.307,0.07268,4.266
6,642.512,0.07176,4.216
6,671.717,0.07084,4.165
6,700.922,0.06992,4.114
6,730.128,0.069,4.063
6,759.333,0.06808,4.012
6,788.538,0.06716,3.961
6,817.743,0.06624,3.91
6,846.948,0.06532,3.859
6,876.153,0.0644,3.808
6,905.358,0.06348,3.757
6,934.563,0.06256,3.706
6,963.768,0.06164,3.655
6,992.973,0.06072,3.604
6,1022.179,0.0598,3.553
6,1051.384,0.05888,3.503
6,1080.589,0.05796,3.452
6,1109.794,0.05704,3.401
6,1138.999,0.05612,3.35
6,1168.204,0.0552,3.299
6,1197.409,0.05428,3.248
6,1226.614,0.05336,3.197
6,1255.819,0.05244,3.146
6,1285.024,0.05152,3.095
6,1314.23,0.0506,3.044
6,1343.435,0.04968,2.993
6,1372.64,0.04876,2.942
6,1401.845,0.04784,2.891
6,1431.05,0.04692,2.84
6,1460.255,0.046,2.79
6,1489.46,0.04508,2.739
6,1518.665,0.04416,2.688
6,1547.87,0.04324,2.637
6,1577.075,0.04232,2.586
6,1606.281,0.0414,2.535
6,1635.486,0.04048,2.484
6,1664.691,0.03956,2.433
6,1693.896,0.03864,2.382
6,1723.101,0.03772,2.331
6,1752.306,0.0368,2.28
6,1781.511,0.03588,2.229
6,1810.716,0.03496,2.178
6,1839.921,0.03404,2.127
6,1869.126,0.03312,2.076
6,1898.332,0.0322,2.026
6,1927.537,0.03128,1.975
6,1956.742,0.03036,1.924
6,1985.947,0.02944,1.873
6,2015.152,0.02852,1.822
6,2044.357,0.0276,1.771
6,2073.562,0.02668,1.72
6,2102.767,0.02576,1.669
6,2131.972,0.02484,1.618
6,2161.177,0.02392,1.567
6,2190.383,0.023,1.516
6,2219.588,0.02208,1.465
6,2248.793,0.02116,1.414
6,2277.998,0.02024,1.363
6,2307.203,0.01932,1.313
6,2336.408,0.0184,1.262
6,2365.613,0.01748,1.211
6,2394.818,0.01656,1.16
6,2424.023,0.01564,1.109
6,2453.228,0.01472,1.058
6,2482.434,0.0138,1.007
6,2511.639,0.01288,0.956
6,2540.844,0.01196,0.905
6,2570.049,0.01104,0.854
6,2599.254,0.01012,0.803
6,2628.459,0.0092,0.752
6,2657.664,0.00828,0.701
6,2686.869,0.00736,0.65
6,2716.074,0.00644,0.6
6,2745.279,0.00552,0.549
